Apr 07 03:10:15 - [DEBUG] - Launching Cytopia
Apr 07 03:10:15 - [INFO] - Using stereo sounds
Apr 07 03:10:15 - [DEBUG] - Created AudioMixer
Apr 07 03:10:15 - [DEBUG] - Created Game Object
Apr 07 03:10:15 - [DEBUG] - Initializing Cytopia
Apr 07 03:10:16 - [DEBUG] - Initialized Game Object
Apr 07 03:10:16 - [DEBUG] - Starting Main menu
Apr 07 03:10:16 - [DEBUG] - Starting main menu
Apr 07 03:10:16 - [INFO] - Fetching SarahTheme at /home/pab/CodeProj/cytopia-forks/my-fork/Cytopia/debug/resources/audio/music/Sarah_Theme.ogg
Apr 07 03:10:16 - [DEBUG] - Creating a Text texture
Apr 07 03:10:16 - [DEBUG] - Creating a Text texture
Apr 07 03:10:16 - [DEBUG] - Creating a Text texture
Apr 07 03:10:16 - [DEBUG] - Creating a Text texture
Apr 07 03:10:16 - [INFO] - Resource cache is now at 44MB
Apr 07 03:10:50 - [INFO] - Fetching MajorSelection at /home/pab/CodeProj/cytopia-forks/my-fork/Cytopia/debug/resources/audio/sound effects/menu/Major Selection.ogg
Apr 07 03:10:50 - [INFO] - Resource cache is now at 44MB
Apr 07 03:10:51 - [DEBUG] - Running the Game
Apr 07 03:10:51 - [INFO] - Cytopia 0.2.1 - tech preview
Apr 07 03:10:51 - [DEBUG] - Map initialized in 0ms
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
Apr 07 03:10:51 - [DEBUG] - Creating a Text texture
